iter	Logloss
0	0.6893693379
1	0.6856575012
2	0.6820012501
3	0.677967889
4	0.6729499953
5	0.6685222217
6	0.665096283
7	0.6614136015
8	0.6578700202
9	0.653204373
10	0.6502316339
11	0.6465393475
12	0.6430549622
13	0.6394350188
14	0.6359120778
15	0.6322683607
16	0.6277225358
17	0.6243827002
18	0.6209049225
19	0.6179942404
20	0.6143962315
21	0.6115112305
22	0.6076788221
23	0.6046524048
24	0.6010313034
25	0.5979771614
26	0.5947831018
27	0.5911062786
28	0.588272844
29	0.5843884604
30	0.5807490349
31	0.5778001377
32	0.5751325062
33	0.5719509806
34	0.5688960212
35	0.5666797502
36	0.5640251296
37	0.5611991882
38	0.5587295805
39	0.5554725102
40	0.553389992
41	0.5508147989
42	0.5475254399
43	0.544564179
44	0.5416184153
45	0.5383022513
46	0.5355971541
47	0.533290863
48	0.5303491184
49	0.5282232421
50	0.5255721637
51	0.5223758561
52	0.5195162296
53	0.5173583712
54	0.5150235721
55	0.5133453097
56	0.5106620107
57	0.5087790149
58	0.5066315787
59	0.5031538691
60	0.5008350781
61	0.4979355676
62	0.4955583981
63	0.4929607936
64	0.4917567798
65	0.489384549
66	0.4871068001
67	0.4852400167
68	0.4832718032
69	0.4816286904
70	0.479442324
71	0.4771709442
72	0.4757931573
73	0.4737860135
74	0.4725425243
75	0.4703348705
76	0.4684205396
77	0.4663652011
78	0.4643346923
79	0.4620080675
80	0.4604112761
81	0.4582542692
82	0.4559153829
83	0.4545644351
84	0.4526206425
85	0.4508628845
86	0.4487566948
87	0.4471356528
88	0.4451652936
89	0.4436148235
90	0.4418158872
91	0.4400526455
92	0.4384647438
93	0.4366710867
94	0.43472382
95	0.4330688545
96	0.431920835
97	0.4304135527
98	0.4287406717
99	0.427504846
100	0.4255809784
101	0.4241263526
102	0.422796045
103	0.420633861
104	0.4188576085
105	0.4172098296
106	0.4156984602
107	0.4139533043
108	0.412377664
109	0.4110207898
110	0.4094586032
111	0.4081058502
112	0.4063375337
113	0.4049629143
114	0.4033190523
115	0.4023187501
116	0.4010958672
117	0.3999291488
118	0.3982555866
119	0.396602835
120	0.3953695978
121	0.3948066575
122	0.3934815611
123	0.3920901843
124	0.3912400859
125	0.3899275916
126	0.3885736465
127	0.3872226988
128	0.3858835016
129	0.3847280911
130	0.3835036073
131	0.3823261942
132	0.3811189788
133	0.3794189521
134	0.3783289364
135	0.3773426328
136	0.3765093599
137	0.3754238061
138	0.3741827011
139	0.3730889048
140	0.3723000458
141	0.370976959
142	0.3697415079
143	0.3681182861
144	0.3668153627
145	0.3657073293
146	0.3647967407
147	0.3632146972
148	0.3621098995
149	0.3611419201
150	0.3603164128
151	0.3594139303
152	0.358670439
153	0.3578237125
154	0.3568607739
155	0.3559569631
156	0.3548593521
157	0.3540012496
158	0.3527998243
159	0.3519405297
160	0.3507808958
161	0.3499957493
162	0.348975965
163	0.3478894915
164	0.3469447408
165	0.3461279188
166	0.344960928
167	0.3438529968
168	0.3430519445
169	0.3420418671
170	0.3408231735
171	0.3399597236
172	0.3386856828
173	0.3379665102
174	0.3371965545
175	0.3365093981
176	0.3357886587
177	0.3350417614
178	0.3339651312
179	0.3331035546
180	0.3323344844
181	0.331628527
182	0.3305179732
183	0.3292477471
184	0.3280738762
185	0.3273619924
186	0.3265183994
187	0.3254303932
188	0.3245182719
189	0.3235964094
190	0.3226558822
191	0.3216446808
192	0.3207350799
193	0.3201731273
194	0.3195653643
195	0.3184151649
196	0.3175930977
197	0.3167186465
198	0.3159902436
199	0.315071685
200	0.3143565314
201	0.3132475104
202	0.3123521124
203	0.31135852
204	0.3107233047
205	0.3096808706
206	0.3087500845
207	0.3079251562
208	0.3070588793
209	0.3062921592
210	0.3056404931
211	0.3046316419
212	0.3037397861
213	0.3031730652
214	0.3026890755
215	0.3020722525
216	0.3014998095
217	0.3007241658
