iter	Passed	Remaining
0	2	2303
1	3	1674
2	5	1789
3	7	1851
4	9	1859
5	11	1937
6	13	1950
7	15	1953
8	17	1957
9	19	1961
10	21	1967
11	23	1971
12	25	1972
13	28	1989
14	30	1995
15	31	1944
16	33	1942
17	35	1912
18	36	1893
19	38	1898
20	40	1897
21	43	1914
22	45	1922
23	47	1926
24	49	1925
25	51	1925
26	53	1924
27	55	1923
28	57	1918
29	59	1921
30	61	1915
31	63	1909
32	64	1901
33	65	1872
34	67	1867
35	69	1863
36	70	1841
37	72	1837
38	74	1836
39	76	1838
40	78	1837
41	80	1834
42	82	1832
43	84	1830
44	86	1826
45	87	1824
46	89	1820
47	91	1822
48	93	1820
49	95	1817
50	97	1814
51	99	1810
52	101	1809
53	103	1806
54	104	1803
55	107	1805
56	109	1806
57	111	1804
58	112	1801
59	114	1798
60	116	1796
61	118	1793
62	120	1790
63	122	1788
64	124	1792
65	126	1786
66	128	1784
67	129	1781
68	131	1778
69	133	1775
70	135	1772
71	137	1769
72	139	1771
73	141	1770
74	143	1768
75	145	1765
76	147	1763
77	148	1760
78	150	1758
79	152	1756
80	154	1755
81	156	1754
82	158	1752
83	160	1750
84	162	1748
85	164	1745
86	166	1743
87	168	1741
88	169	1738
89	172	1739
90	174	1738
91	175	1736
92	178	1736
93	180	1735
94	182	1734
95	184	1734
96	186	1733
97	188	1735
98	190	1734
99	192	1734
100	194	1732
101	196	1730
102	198	1727
103	200	1725
104	202	1724
105	204	1724
106	206	1723
107	208	1721
108	210	1719
109	212	1717
110	214	1715
111	216	1712
112	217	1710
113	220	1711
114	222	1709
115	224	1707
116	225	1705
117	227	1702
118	229	1699
119	231	1697
120	233	1695
121	235	1695
122	237	1693
123	239	1691
124	241	1688
125	243	1686
126	244	1683
127	246	1681
128	248	1679
129	250	1676
130	252	1677
131	254	1675
132	256	1672
133	258	1670
134	260	1667
135	262	1665
136	263	1662
137	265	1660
138	268	1660
139	270	1658
140	271	1656
141	273	1654
142	275	1651
143	276	1645
144	278	1644
145	280	1641
146	282	1639
147	284	1639
148	286	1637
149	288	1635
150	290	1633
151	292	1631
152	294	1628
153	296	1626
154	297	1624
155	300	1623
156	301	1621
157	303	1619
158	305	1617
159	307	1614
160	309	1612
161	311	1610
162	313	1608
163	315	1605
164	316	1604
165	318	1602
166	320	1600
167	322	1598
168	324	1595
169	326	1593
170	328	1591
171	330	1588
172	331	1586
173	333	1584
174	335	1582
175	337	1580
176	339	1577
177	341	1575
178	343	1573
179	344	1571
180	346	1569
181	348	1567
182	350	1565
183	352	1562
184	354	1560
185	356	1558
186	357	1556
187	360	1555
188	362	1554
189	364	1553
190	366	1551
191	368	1550
192	370	1548
193	372	1547
194	374	1547
195	377	1546
196	379	1544
197	381	1543
198	383	1541
199	385	1540
200	387	1538
201	389	1537
202	391	1535
203	393	1533
204	394	1531
205	396	1529
206	398	1527
207	400	1525
208	402	1523
209	404	1521
210	406	1519
211	408	1517
212	410	1515
213	412	1513
214	413	1511
215	415	1509
216	417	1507
217	419	1505
218	421	1503
219	423	1501
220	425	1500
221	427	1497
222	428	1494
223	430	1492
224	432	1490
225	434	1488
226	436	1486
227	438	1484
228	440	1482
229	442	1480
230	444	1478
231	445	1476
232	447	1474
233	449	1472
234	451	1469
235	455	1475
236	457	1473
237	459	1472
238	461	1470
239	463	1468
240	465	1466
241	467	1464
242	469	1462
243	471	1460
244	473	1458
245	475	1455
246	476	1453
247	478	1451
248	480	1449
249	482	1447
250	484	1445
251	486	1443
252	488	1441
253	489	1438
254	491	1435
255	493	1433
256	494	1431
257	496	1428
258	498	1426
259	500	1424
260	502	1423
261	504	1421
262	506	1419
263	508	1417
264	510	1415
265	512	1413
266	513	1411
267	515	1409
268	517	1407
269	519	1405
270	521	1403
271	523	1401
272	525	1399
273	527	1397
274	529	1395
275	531	1393
276	533	1391
277	534	1389
278	536	1387
279	538	1384
280	540	1383
281	542	1382
282	544	1380
283	546	1378
284	549	1377
285	551	1376
286	553	1374
287	555	1373
288	557	1371
289	559	1370
290	561	1367
291	563	1366
292	565	1364
293	567	1362
294	569	1360
295	570	1357
296	572	1356
297	574	1354
298	576	1352
299	578	1350
300	580	1348
301	581	1344
302	583	1342
303	585	1340
304	587	1338
305	589	1336
306	591	1334
307	593	1332
308	595	1330
309	596	1328
310	598	1326
311	600	1324
312	602	1322
313	604	1320
314	606	1318
315	608	1316
316	610	1314
317	612	1312
318	614	1311
319	616	1309
320	617	1307
